category,a,b,c,d,predicted,cosine_similarity,correct
genere,actor,actress,boar,sow,boars,0.7371588945388794,False
genere,boar,sow,boy,girl,sop,0.5934383869171143,False
genere,boy,girl,brother,sister,sister,0.617672860622406,True
genere,brother,sister,buck,doe,bucky,0.6910102367401123,False
genere,buck,doe,bull,cow,doer,0.5383023023605347,False
genere,bull,cow,businessman,businesswoman,businessmen,0.5764045715332031,False
genere,businessman,businesswoman,dad,mum,mother,0.6889095902442932,False
genere,dad,mum,daddy,mommy,mommy,0.7257099747657776,True
genere,daddy,mommy,duke,duchess,dukes,0.6407180428504944,False
genere,duke,duchess,actor,actress,actress,0.6243270635604858,True
genere,emperor,empress,boar,sow,boars,0.7370556592941284,False
genere,father,mother,boy,girl,boyz,0.6146020293235779,False
genere,fox,vixen,brother,sister,brotherly,0.5157473087310791,False
genere,god,goddess,buck,doe,bucky,0.6295502781867981,False
genere,grandfather,grandmother,bull,cow,buller,0.6433349251747131,False
genere,grandpa,grandma,businessman,businesswoman,businesswoman,0.7353008389472961,True
genere,grandson,granddaughter,dad,mum,mother,0.707930326461792,False
genere,groom,bride,daddy,mommy,mommy,0.5680112838745117,True
genere,heir,heiress,duke,duchess,dukes,0.5428271889686584,False
genere,hero,heroine,actor,actress,actresses,0.7014635801315308,False
genere,hound,bitch,boar,sow,bitches,0.606019914150238,False
genere,husband,wife,boy,girl,boyz,0.6751210689544678,False
genere,king,queen,brother,sister,brotherly,0.5915566682815552,False
genere,man,woman,buck,doe,bucky,0.5799040794372559,False
genere,mister,miss,bull,cow,misses,0.547813892364502,False
genere,nephew,niece,businessman,businesswoman,businesswoman,0.7321922183036804,True
genere,prince,princess,dad,mum,father,0.6532036066055298,False
genere,rooster,hen,daddy,mommy,father,0.6334550380706787,False
genere,sir,madam,duke,duchess,dukes,0.6003095507621765,False
genere,son,daughter,actor,actress,actress,0.7326598763465881,True
genere,stallion,mare,boar,sow,boars,0.6986126899719238,False
genere,stepfather,stepmother,boy,girl,girl,0.6170741319656372,True
genere,uncle,aunt,brother,sister,brotherly,0.628204882144928,False
genere,valet,maid,buck,doe,bucky,0.5597060918807983,False
genere,waiter,waitress,bull,cow,buller,0.6464949250221252,False
capitale_paese,abuja,nigeria,amman,jordan,greenville,0.5835955739021301,False
capitale_paese,amman,jordan,ankara,turkey,mustafa,0.6284075975418091,False
capitale_paese,ankara,turkey,athens,greece,greece,0.7088294625282288,True
capitale_paese,athens,greece,baghdad,iraq,iraqi,0.7883748412132263,False
capitale_paese,baghdad,iraq,bangkok,thailand,thailand,0.7521843314170837,True
capitale_paese,bangkok,thailand,beijing,china,china,0.84660804271698,True
capitale_paese,beijing,china,beirut,lebanon,lebanon,0.8054773807525635,True
capitale_paese,beirut,lebanon,belgrade,serbia,serbia,0.8274713754653931,True
capitale_paese,belgrade,serbia,berlin,germany,germany,0.7860720753669739,True
capitale_paese,berlin,germany,abuja,nigeria,abu,0.6705743670463562,False
capitale_paese,bern,switzerland,amman,jordan,jordanian,0.5936562418937683,False
capitale_paese,brussels,belgium,ankara,turkey,istanbul,0.7310460209846497,False
capitale_paese,bucharest,romania,athens,greece,greece,0.7758411169052124,True
capitale_paese,budapest,hungary,baghdad,iraq,iraqi,0.7695638537406921,False
capitale_paese,cairo,egypt,bangkok,thailand,thailand,0.8073803782463074,True
capitale_paese,canberra,australia,beijing,china,china,0.7721521854400635,True
capitale_paese,copenhagen,denmark,beirut,lebanon,lebanon,0.8119741678237915,True
capitale_paese,damascus,syria,belgrade,serbia,serbia,0.7821968197822571,True
capitale_paese,dhaka,bangladesh,berlin,germany,germany,0.7950413227081299,True
capitale_paese,dublin,ireland,abuja,nigeria,abu,0.7068931460380554,False
capitale_paese,hanoi,vietnam,amman,jordan,jordanian,0.6236498355865479,False
capitale_paese,havana,cuba,ankara,turkey,turkey,0.7207487225532532,True
capitale_paese,helsinki,finland,athens,greece,greece,0.8056299090385437,True
capitale_paese,islamabad,pakistan,baghdad,iraq,iraqi,0.7837114334106445,False
capitale_paese,jakarta,indonesia,bangkok,thailand,thailand,0.8723598122596741,True
capitale_paese,kabul,afghanistan,beijing,china,china,0.7999556660652161,True
capitale_paese,kiev,ukraine,beirut,lebanon,lebanon,0.8424731492996216,True
capitale_paese,kingston,jamaica,belgrade,serbia,serbia,0.7606175541877747,True
capitale_paese,lima,peru,berlin,germany,germany,0.666773796081543,True
capitale_paese,lisbon,portugal,abuja,nigeria,abu,0.6605908870697021,False
capitale_paese,london,england,amman,jordan,jordanian,0.6187682151794434,False
capitale_paese,madrid,spain,ankara,turkey,turkey,0.7268372178077698,True
capitale_paese,manila,philippines,athens,greece,greece,0.8168889880180359,True
capitale_paese,moscow,russia,baghdad,iraq,iraqi,0.8449596762657166,False
capitale_paese,nairobi,kenya,bangkok,thailand,thailand,0.8292621970176697,True
avverbi,according,accordingly,actual,actually,genuinely,0.47699546813964844,False
avverbi,actual,actually,additional,additionally,extra,0.6313139200210571,False
avverbi,additional,additionally,apparent,apparently,notably,0.5818785429000854,False
avverbi,apparent,apparently,beautiful,beautifully,gorgeous,0.5082665085792542,False
avverbi,beautiful,beautifully,clinical,clinically,clinically,0.6990520358085632,True
avverbi,clinical,clinically,creative,creatively,creatively,0.8445552587509155,True
avverbi,creative,creatively,critical,critically,critically,0.7200033664703369,True
avverbi,critical,critically,cultural,culturally,culture,0.7676869034767151,False
avverbi,cultural,culturally,decided,decidedly,chose,0.6567662954330444,False
avverbi,decided,decidedly,according,accordingly,largely,0.6156398057937622,False
avverbi,different,differently,actual,actually,genuinely,0.6163275837898254,False
avverbi,digital,digitally,additional,additionally,extra,0.7260559797286987,False
avverbi,effective,effectively,apparent,apparently,seemingly,0.5988924503326416,False
avverbi,environmental,environmentally,beautiful,beautifully,gorgeous,0.7306613326072693,False
avverbi,extensive,extensively,clinical,clinically,clinically,0.7160966396331787,True
avverbi,famous,famously,creative,creatively,creatively,0.6227576732635498,True
avverbi,federal,federally,critical,critically,critically,0.706497073173523,True
avverbi,financial,financially,cultural,culturally,culturally,0.8189765810966492,True
avverbi,global,globally,decided,decidedly,chose,0.6157893538475037,False
avverbi,historical,historically,according,accordingly,largely,0.5542390942573547,False
avverbi,huge,hugely,actual,actually,incredibly,0.6227478981018066,False
avverbi,immediate,immediately,additional,additionally,extra,0.6290072798728943,False
avverbi,important,importantly,apparent,apparently,evident,0.5584666132926941,False
avverbi,increasing,increasingly,beautiful,beautifully,beautifully,0.6246457695960999,True
avverbi,interesting,interestingly,clinical,clinically,clinically,0.7797899842262268,True
avverbi,internal,internally,creative,creatively,creatively,0.7645539045333862,True
avverbi,international,internationally,critical,critically,critically,0.7043634653091431,True
avverbi,legal,legally,cultural,culturally,culture,0.8264008164405823,False
avverbi,mental,mentally,decided,decidedly,chose,0.6708298921585083,False
avverbi,nice,nicely,according,accordingly,properly,0.5360742211341858,False
avverbi,obvious,obviously,actual,actually,actually,0.588678777217865,True
avverbi,physical,physically,additional,additionally,extra,0.6955848336219788,False
avverbi,political,politically,apparent,apparently,evidenced,0.5675686001777649,False
avverbi,popular,popularly,beautiful,beautifully,gorgeous,0.5853298306465149,False
avverbi,practical,practically,clinical,clinically,clinically,0.5709145665168762,True
